측정소명,초미세먼지,오존
도봉구,31,0.006
성동구,25,0.005
동작구,32,0.008
금천구,29,0.004
강서구,27,0.007
양천구,29,0.008
관악구,22,0.008
영등포구,29,0.005
구로구,34,0.011
강동구,24,0.004
강남구,29,0.003
서초구,38,0.012
송파구,28,0.004
종로구,33,0.004
용산구,23,0.005
중구,35,0.003
마포구,35,0.003
서대문구,33,0.006
은평구,30,0.009
성북구,27,0.003
노원구,30,0.003
광진구,29,0.001
성동구,27,0.002
강북구,27,0.01
도봉구,25,0.004
중랑구,30,0.004
동대문구,24,0.002
강서구,28,0.003
관악구,21,0.006
구로구,30,0.009
동작구,36,0.009
양천구,36,0.004
금천구,32,0.004
영등포구,31,0.003
송파구,27,0.002
강동구,26,0.002
강남구,28,0.002
서초구,37,0.01
중구,35,0.004
용산구,23,0.015
종로구,31,0.01
서대문구,35,0.007
은평구,33,0.013
마포구,33,0.006
성동구,27,0.016
도봉구,27,0.008
중랑구,28,0.003
성북구,25,0.003
동대문구,25,0.01
광진구,26,0.002
노원구,28,0.004
강북구,25,0.012
강서구,27,0.007
동작구,32,0.01
영등포구,27,0.005
구로구,32,0.011
관악구,23,0.014
양천구,33,0.009
금천구,29,0.008
송파구,25,0.006
강남구,30,0.007
서초구,35,0.016
강동구,26,0.002
용산구,25,0.017
종로구,29,0.012
중구,34,0.01
서대문구,32,0.011
마포구,29,0.005
은평구,27,0.01
성북구,25,0.008
광진구,27,0.009
성동구,29,0.026
동대문구,25,0.012
노원구,30,0.008
중랑구,25,0.007
도봉구,26,0.015
강북구,25,0.016
관악구,25,0.02
금천구,30,0.014
강서구,23,0.012
영등포구,26,0.016
양천구,29,0.016
동작구,35,0.016
구로구,28,0.03
송파구,24,0.005
강남구,34,0.022
강동구,27,0.004
서초구,35,0.026
중구,36,0.009
용산구,24,0.02
종로구,29,0.009
마포구,27,0.005
서대문구,30,0.009
은평구,22,0.008
중랑구,23,0.01
강북구,25,0.019
도봉구,27,0.015
성북구,24,0.01
광진구,27,0.006
노원구,27,0.009
성동구,27,0.017
동대문구,24,0.009
구로구,32,0.03
강서구,23,0.021
양천구,27,0.022
영등포구,26,0.024
금천구,30,0.019
관악구,24,0.022
동작구,33,0.019
서초구,39,0.027
강동구,27,0.007
강남구,30,0.018
송파구,22,0.006
종로구,26,0.01
중구,31,0.009
용산구,21,0.013
마포구,32,0.011
서대문구,27,0.009
은평구,22,0.017
동대문구,23,0.007
중랑구,23,0.014
광진구,26,0.004
도봉구,21,0.015
노원구,27,0.014
강북구,24,0.02
성동구,22,0.011
