측정일시,측정소명,초미세먼지(㎍/㎥),오존(ppm)
202003310900 ,영등포구,29,0.005
202003310900 ,강서구,31,0.007
202003310900 ,동작구,28,0.01
202003310900 ,구로구,38,0.013
202003310900 ,송파구,28,0.006
202003310900 ,강동구,24,0.007
202003310900 ,강남구,30,0.006
202003310900 ,서초구,39,0.011
202003310800 ,중구,26,0.004
202003310800 ,종로구,26,0.005
202003310800 ,용산구,23,0.004
202003310800 ,은평구,17,0.005
202003310800 ,마포구,26,0.003
202003310800 ,서대문구,26,0.006
202003310800 ,도봉구,29,0.006
202003310800 ,중랑구,24,0.004
202003310800 ,강북구,21,0.009
202003310800 ,노원구,23,0.005
202003310800 ,광진구,27,0.003
202003310800 ,성동구,25,0.004
202003310800 ,동대문구,22,0.005
202003310800 ,성북구,26,0.006
202003310800 ,양천구,35,0.004
202003310800 ,구로구,38,0.01
202003310800 ,강서구,28,0.004
202003310800 ,금천구,27,0.004
202003310800 ,영등포구,30,0.004
202003310800 ,관악구,21,0.005
202003310800 ,동작구,29,0.007
202003310800 ,강남구,26,0.004
202003310800 ,송파구,25,0.004
202003310800 ,강동구,26,0.003
202003310800 ,서초구,30,0.009
202003310700 ,용산구,22,0.002
202003310700 ,종로구,25,0.003
202003310700 ,중구,26,0.003
202003310700 ,서대문구,23,0.004
202003310700 ,은평구,18,0.004
202003310700 ,마포구,29,0.002
202003310700 ,노원구,26,0.003
202003310700 ,강북구,22,0.013
202003310700 ,성북구,25,0.003
202003310700 ,동대문구,22,0.002
202003310700 ,도봉구,24,0
202003310700 ,중랑구,23,0.002
202003310700 ,성동구,23,0.003
202003310700 ,광진구,24,0.001
202003310700 ,영등포구,33,0.003
202003310700 ,양천구,36,0.002
202003310700 ,동작구,33,0.004
202003310700 ,금천구,28,0.002
202003310700 ,관악구,19,0.003
202003310700 ,구로구,32,0.009
202003310700 ,강서구,30,0.005
202003310700 ,송파구,20,0.002
202003310700 ,강동구,27,0.002
202003310700 ,강남구,26,0.002
202003310700 ,서초구,30,0.007
202003310600 ,종로구,22,0.007
202003310600 ,용산구,17,0.003
202003310600 ,중구,25,0.004
202003310600 ,마포구,29,0.004
202003310600 ,서대문구,21,0.006
202003310600 ,은평구,20,0.013
202003310600 ,성북구,22,0.003
202003310600 ,중랑구,23,0.002
202003310600 ,노원구,24,0.002
202003310600 ,도봉구,25,0.01
202003310600 ,강북구,23,0.015
202003310600 ,성동구,22,0.002
202003310600 ,광진구,20,0.001
202003310600 ,동대문구,18,0.003
202003310600 ,관악구,19,0.003
202003310600 ,동작구,27,0.004
202003310600 ,영등포구,32,0.003
202003310600 ,강서구,25,0.004
202003310600 ,금천구,26,0.002
202003310600 ,구로구,32,0.01
202003310600 ,양천구,34,0.004
202003310600 ,서초구,29,0.006
202003310600 ,송파구,20,0.002
202003310600 ,강남구,24,0.002
202003310600 ,강동구,25,0.002
202003310500 ,중구,25,0.006
202003310500 ,용산구,18,0.001
202003310500 ,종로구,23,0.009
202003310500 ,마포구,19,0.005
202003310500 ,서대문구,25,0.013
202003310500 ,은평구,19,0.019
202003310500 ,성북구,20,0.005
202003310500 ,동대문구,20,0.003
202003310500 ,광진구,22,0.001
202003310500 ,중랑구,23,0.003
202003310500 ,성동구,23,0.002
202003310500 ,도봉구,22,0.019
202003310500 ,강북구,22,0.02
202003310500 ,노원구,27,0.006
202003310500 ,관악구,18,0.003
202003310500 ,강서구,21,0.004
202003310500 ,금천구,25,0.002
202003310500 ,구로구,27,0.009
202003310500 ,동작구,31,0.006
202003310500 ,양천구,26,0.005
202003310500 ,영등포구,27,0.005
202003310500 ,강남구,25,0.002
202003310500 ,송파구,20,0.002
202003310500 ,강동구,27,0.002
202003310500 ,서초구,27,0.008
202003310400 ,종로구,22,0.006
202003310400 ,용산구,20,0.002
202003310400 ,중구,24,0.003
202003310400 ,은평구,15,0.028
202003310400 ,마포구,17,0.019
202003310400 ,서대문구,20,0.021
202003310400 ,강북구,21,0.023
202003310400 ,성동구,19,0.002
202003310400 ,노원구,25,0.011
202003310400 ,광진구,21,0.001
202003310400 ,동대문구,19,0.007
202003310400 ,성북구,24,0.016
202003310400 ,도봉구,24,0.023
202003310400 ,중랑구,23,0.009
202003310400 ,양천구,22,0.004
202003310400 ,강서구,19,0.004
202003310400 ,구로구,23,0.009
202003310400 ,동작구,25,0.007
202003310400 ,영등포구,16,0.025
202003310400 ,금천구,22,0.002
202003310400 ,관악구,16,0.003
202003310400 ,송파구,21,0.002
202003310400 ,강동구,28,0.002
202003310400 ,서초구,26,0.01
202003310400 ,강남구,22,0.002
202003310300 ,용산구,19,0.002
202003310300 ,중구,26,0.004
202003310300 ,종로구,25,0.013
202003310300 ,서대문구,18,0.019
202003310300 ,마포구,18,0.022
202003310300 ,은평구,21,0.025
202003310300 ,동대문구,20,0.014
202003310300 ,도봉구,21,0.024
202003310300 ,광진구,24,0.002
202003310300 ,성북구,23,0.016
202003310300 ,강북구,26,0.024
202003310300 ,노원구,29,0.012
202003310300 ,중랑구,22,0.018
202003310300 ,성동구,19,0.002
202003310300 ,동작구,25,0.009
202003310300 ,양천구,21,0.024
202003310300 ,구로구,23,0.018
202003310300 ,금천구,24,0.003
202003310300 ,강서구,19,0.012
202003310300 ,영등포구,19,0.037
202003310300 ,관악구,18,0.003
202003310300 ,서초구,24,0.015
202003310300 ,송파구,23,0.002
202003310300 ,강남구,24,0.007
202003310300 ,강동구,29,0.002
202003310200 ,종로구,25,0.011
202003310200 ,용산구,19,0.003
202003310200 ,중구,24,0.005
202003310200 ,서대문구,23,0.011
202003310200 ,마포구,20,0.013
202003310200 ,은평구,22,0.019
202003310200 ,성북구,23,0.027
202003310200 ,광진구,15,0.002
202003310200 ,동대문구,19,0.011
202003310200 ,중랑구,22,0.022
202003310200 ,도봉구,19,0.028
