date,usd,usd_rate
2009-04-30,1278,-0.0439
2009-05-01,1278,0
2009-05-04,1268.5,-0.0074
2009-05-05,1268.5,0
2009-05-06,1273,0.0035
2009-05-07,1258.3,-0.0115
2009-05-08,1243.12,-0.0121
2009-05-11,1233.9,-0.0074
2009-05-12,1239,0.0041
2009-05-13,1240,0.0008
2009-05-14,1262.5,0.0181
2009-05-15,1253,-0.0075
2009-05-18,1261.25,0.0066
2009-05-19,1245.5,-0.0125
2009-05-20,1247,0.0012
2009-05-21,1245.8,-0.001
2009-05-22,1244.8,-0.0008
2009-05-25,1245.2,0.0003
2009-05-26,1266,0.0167
2009-05-27,1265.4,-0.0005
2009-05-28,1261.6,-0.003
2009-05-29,1258.25,-0.0027
2009-06-01,1233.2,-0.0199
2009-06-02,1235,0.0015
2009-06-03,1247.05,0.0098
2009-06-04,1247.5,0.0004
2009-06-05,1252.35,0.0039
2009-06-08,1248.38,-0.0032
2009-06-09,1263.25,0.0119
2009-06-10,1259,-0.0034
2009-06-11,1251.55,-0.0059
2009-06-12,1252.5,0.0008
2009-06-15,1258,0.0044
2009-06-16,1256.5,-0.0012
2009-06-17,1264.7,0.0065
2009-06-18,1265,0.0002
2009-06-19,1268.95,0.0031
2009-06-22,1283.4,0.0114
2009-06-23,1286.35,0.0023
2009-06-24,1277.5,-0.0069
2009-06-25,1285.85,0.0065
2009-06-26,1280.6,-0.0041
2009-06-29,1282.7,0.0016
2009-06-30,1274.8,-0.0062
2009-07-01,1259.2,-0.0122
2009-07-02,1275.5,0.0129
2009-07-03,1265.9,-0.0075
2009-07-06,1271.75,0.0046
2009-07-07,1273.65,0.0015
2009-07-08,1280.35,0.0053
2009-07-09,1278.2,-0.0017
2009-07-10,1288.9,0.0084
2009-07-13,1309.5,0.016
2009-07-14,1295.7,-0.0105
2009-07-15,1272.5,-0.0179
2009-07-16,1266.5,-0.0047
2009-07-17,1257.5,-0.0071
2009-07-20,1244.5,-0.0103
2009-07-21,1252.4,0.0063
2009-07-22,1251.6,-0.0006
2009-07-23,1247.7,-0.0031
2009-07-24,1246,-0.0014
2009-07-27,1242.9,-0.0025
2009-07-28,1241,-0.0015
2009-07-29,1244.3,0.0027
2009-07-30,1232.5,-0.0095
2009-07-31,1222.7,-0.008
2009-08-03,1214.5,-0.0067
2009-08-04,1219.45,0.0041
2009-08-05,1226,0.0054
2009-08-06,1225.5,-0.0004
2009-08-07,1224.5,-0.0008
2009-08-10,1229.25,0.0039
2009-08-11,1243.2,0.0113
2009-08-12,1242.5,-0.0006
2009-08-13,1235.25,-0.0058
2009-08-14,1240,0.0038
2009-08-17,1259,0.0153
2009-08-18,1248,-0.0087
2009-08-19,1251.5,0.0028
2009-08-20,1245.5,-0.0048
2009-08-21,1245.7,0.0002
2009-08-24,1241,-0.0038
2009-08-25,1249.95,0.0072
2009-08-26,1241,-0.0072
2009-08-27,1247.8,0.0055
2009-08-28,1247.2,-0.0005
2009-08-31,1249.5,0.0018
2009-09-01,1247.5,-0.0016
2009-09-02,1244.8,-0.0022
2009-09-03,1245.5,0.0006
2009-09-04,1237,-0.0068
2009-09-07,1233.37,-0.0029
2009-09-08,1224,-0.0076
2009-09-09,1224,0
2009-09-10,1225,0.0008
2009-09-11,1221.5,-0.0029
2009-09-14,1225,0.0029
2009-09-15,1218.4,-0.0054
2009-09-16,1206,-0.0102
2009-09-17,1207,0.0008
2009-09-18,1207.5,0.0004
2009-09-21,1208,0.0004
2009-09-22,1197.5,-0.0087
2009-09-23,1192.5,-0.0042
2009-09-24,1191.7,-0.0007
2009-09-25,1186.25,-0.0046
2009-09-28,1193.5,0.0061
2009-09-29,1188.5,-0.0042
2009-09-30,1176.5,-0.0101
