date,open,high,low,close,volume
2009-07-20,8746.05 ,8854.80 ,8745.90 ,8848.15 ,213730000.00 
2009-07-21,8848.15 ,8927.13 ,8811.27 ,8915.94 ,218910000.00 
2009-07-22,8912.39 ,8949.80 ,8860.32 ,8881.26 ,199010000.00 
2009-07-23,8882.31 ,9096.72 ,8866.44 ,9069.29 ,274760000.00 
2009-07-24,9066.11 ,9100.88 ,9007.39 ,9093.24 ,214310000.00 
2009-07-27,9093.09 ,9123.40 ,9034.52 ,9108.51 ,176830000.00 
2009-07-28,9106.92 ,9124.91 ,9007.47 ,9096.72 ,198270000.00 
2009-07-29,9092.34 ,9094.83 ,9014.19 ,9070.72 ,190510000.00 
2009-07-30,9072.84 ,9246.43 ,9072.61 ,9154.46 ,232410000.00 
2009-07-31,9154.61 ,9218.77 ,9133.45 ,9171.61 ,265570000.00 
2009-08-03,9173.65 ,9298.43 ,9173.65 ,9286.56 ,221690000.00 
2009-08-04,9285.05 ,9321.10 ,9250.74 ,9320.19 ,195990000.00 
2009-08-05,9315.36 ,9318.08 ,9206.45 ,9280.97 ,236610000.00 
2009-08-06,9277.19 ,9325.11 ,9208.80 ,9256.26 ,244450000.00 
2009-08-07,9258.45 ,9437.71 ,9258.45 ,9370.07 ,216600000.00 
2009-08-10,9368.41 ,9371.96 ,9290.34 ,9337.95 ,161370000.00 
2009-08-11,9334.33 ,9334.33 ,9216.88 ,9241.45 ,171380000.00 
2009-08-12,9236.06 ,9424.11 ,9221.02 ,9361.61 ,197420000.00 
2009-08-13,9362.29 ,9406.50 ,9305.31 ,9398.19 ,145620000.00 
2009-08-14,9398.04 ,9401.97 ,9232.83 ,9321.40 ,172780000.00 
2009-08-17,9313.85 ,9313.85 ,9116.52 ,9135.34 ,207100000.00 
2009-08-18,9134.36 ,9233.51 ,9134.36 ,9217.94 ,158530000.00 
2009-08-19,9208.68 ,9313.09 ,9131.94 ,9279.16 ,176910000.00 
2009-08-20,9278.55 ,9363.95 ,9267.97 ,9350.05 ,151740000.00 
2009-08-21,9347.86 ,9519.11 ,9347.25 ,9505.96 ,293530000.00 
2009-08-24,9506.18 ,9587.73 ,9486.23 ,9509.28 ,190590000.00 
2009-08-25,9509.21 ,9620.00 ,9508.98 ,9539.29 ,173890000.00 
2009-08-26,9538.61 ,9582.97 ,9485.78 ,9543.52 ,154660000.00 
2009-08-27,9541.63 ,9609.72 ,9459.40 ,9580.63 ,163980000.00 
2009-08-28,9582.74 ,9630.20 ,9495.98 ,9544.20 ,205770000.00 
2009-08-31,9542.91 ,9543.06 ,9436.13 ,9496.28 ,201600000.00 
2009-09-01,9492.32 ,9557.95 ,9292.08 ,9310.60 ,267680000.00 
2009-09-02,9306.21 ,9330.93 ,9262.30 ,9280.67 ,175200000.00 
2009-09-03,9282.03 ,9350.27 ,9252.93 ,9344.61 ,168750000.00 
2009-09-04,9345.36 ,9445.72 ,9321.63 ,9441.27 ,152400000.00 
2009-09-08,9440.13 ,9511.02 ,9439.98 ,9497.34 ,202370000.00 
2009-09-09,9496.59 ,9577.22 ,9476.18 ,9547.22 ,190820000.00 
2009-09-10,9546.54 ,9633.00 ,9508.22 ,9627.48 ,234130000.00 
2009-09-11,9625.44 ,9649.85 ,9571.56 ,9605.41 ,196760000.00 
2009-09-14,9598.08 ,9631.11 ,9535.96 ,9626.80 ,196480000.00 
2009-09-15,9626.42 ,9713.71 ,9580.93 ,9683.41 ,224030000.00 
2009-09-16,9683.71 ,9799.72 ,9679.18 ,9791.71 ,241270000.00 
2009-09-17,9789.82 ,9854.58 ,9749.46 ,9783.92 ,225470000.00 
2009-09-18,9784.75 ,9847.71 ,9784.68 ,9820.20 ,424930000.00 
2009-09-21,9818.61 ,9818.69 ,9725.88 ,9778.86 ,172830000.00 
2009-09-22,9779.61 ,9843.40 ,9771.91 ,9829.87 ,194620000.00 
2009-09-23,9830.63 ,9917.99 ,9740.84 ,9748.55 ,233330000.00 
2009-09-24,9749.99 ,9805.39 ,9666.03 ,9707.44 ,201890000.00 
2009-09-25,9706.68 ,9735.93 ,9641.01 ,9665.19 ,189350000.00 
2009-09-28,9663.23 ,9823.67 ,9663.23 ,9789.36 ,163780000.00 
2009-09-29,9789.74 ,9834.48 ,9739.11 ,9742.20 ,154000000.00 
2009-09-30,9741.83 ,9776.82 ,9608.59 ,9712.28 ,268390000.00 
2009-10-01,9711.60 ,9711.67 ,9500.37 ,9509.28 ,266990000.00 
2009-10-02,9507.62 ,9524.78 ,9430.08 ,9487.67 ,219750000.00 
2009-10-05,9488.73 ,9625.06 ,9481.09 ,9599.75 ,173850000.00 
2009-10-06,9601.26 ,9774.32 ,9601.26 ,9731.25 ,206020000.00 
2009-10-07,9725.69 ,9740.32 ,9675.62 ,9725.58 ,167650000.00 
2009-10-08,9728.22 ,9836.67 ,9728.07 ,9786.87 ,209580000.00 
2009-10-09,9786.04 ,9865.01 ,9764.88 ,9864.94 ,161120000.00 
2009-10-12,9865.24 ,9931.82 ,9849.37 ,9885.80 ,158850000.00 
2009-10-13,9883.98 ,9895.09 ,9815.06 ,9871.06 ,211510000.00 
2009-10-14,9873.55 ,10027.73 ,9873.48 ,10015.86 ,284810000.00 
2009-10-15,10014.88 ,10062.94 ,9977.47 ,10062.94 ,252480000.00 
2009-10-16,10061.36 ,10061.66 ,9939.91 ,9995.91 ,307770000.00 
2009-10-19,9996.67 ,10117.96 ,9995.15 ,10092.19 ,186240000.00 
2009-10-20,10092.42 ,10098.39 ,9992.81 ,10041.48 ,214500000.00 
2009-10-21,10038.84 ,10119.47 ,9943.76 ,9949.36 ,251050000.00 
2009-10-22,9946.18 ,10105.19 ,9916.78 ,10081.31 ,231900000.00 
2009-10-23,10099.90 ,10109.57 ,9932.50 ,9972.18 ,305670000.00 
2009-10-26,9972.33 ,10072.32 ,9849.45 ,9867.96 ,270050000.00 
2009-10-27,9868.34 ,9947.54 ,9837.96 ,9882.17 ,237060000.00 
2009-10-28,9881.11 ,9902.42 ,9758.08 ,9762.69 ,257370000.00 
2009-10-29,9762.91 ,9969.91 ,9759.13 ,9962.58 ,248950000.00 
2009-10-30,9961.52 ,9962.13 ,9684.54 ,9712.73 ,327980000.00 
2009-11-02,9712.13 ,9858.59 ,9678.95 ,9789.44 ,242460000.00 
2009-11-03,9787.47 ,9787.47 ,9703.89 ,9771.91 ,231520000.00 
2009-11-04,9767.30 ,9928.04 ,9767.14 ,9802.14 ,224130000.00 
2009-11-05,9807.80 ,10013.07 ,9807.80 ,10005.96 ,211040000.00 
2009-11-06,10001.35 ,10044.50 ,9936.81 ,10023.42 ,181010000.00 
2009-11-09,10020.62 ,10228.23 ,10020.62 ,10226.94 ,227470000.00 
2009-11-10,10223.01 ,10260.80 ,10197.69 ,10246.97 ,193950000.00 
2009-11-11,10247.42 ,10341.97 ,10246.14 ,10291.26 ,166920000.00 
2009-11-12,10289.82 ,10321.64 ,10171.24 ,10197.47 ,183810000.00 
2009-11-13,10197.85 ,10305.69 ,10192.03 ,10270.47 ,167280000.00 
2009-11-16,10267.53 ,10434.24 ,10267.45 ,10406.96 ,202570000.00 
2009-11-17,10404.77 ,10438.17 ,10361.99 ,10437.42 ,158320000.00 
2009-11-18,10426.27 ,10432.66 ,10360.10 ,10426.31 ,166340000.00 
2009-11-19,10425.33 ,10425.33 ,10256.11 ,10332.44 ,196250000.00 
2009-11-20,10327.91 ,10342.72 ,10271.68 ,10318.16 ,230430000.00 
2009-11-23,10320.13 ,10495.61 ,10320.05 ,10450.95 ,182350000.00 
2009-11-24,10451.25 ,10453.97 ,10359.58 ,10433.71 ,163750000.00 
2009-11-25,10432.96 ,10481.48 ,10420.94 ,10464.40 ,130080000.00 
2009-11-27,10452.23 ,10452.23 ,10231.25 ,10309.92 ,130290000.00 
2009-11-30,10309.77 ,10364.34 ,10263.29 ,10344.84 ,223580000.00 
2009-12-01,10343.82 ,10501.28 ,10343.44 ,10471.58 ,190220000.00 
2009-12-02,10470.44 ,10513.52 ,10421.47 ,10452.68 ,159500000.00 
2009-12-03,10455.63 ,10507.63 ,10350.05 ,10366.15 ,243970000.00 
2009-12-04,10368.57 ,10516.70 ,10311.81 ,10388.90 ,460660000.00 
2009-12-07,10386.86 ,10443.16 ,10360.18 ,10390.11 ,196580000.00 
2009-12-08,10385.42 ,10385.65 ,10249.84 ,10285.97 ,221770000.00 
2009-12-09,10282.85 ,10342.27 ,10235.63 ,10337.05 ,188610000.00 
2009-12-10,10336.00 ,10444.60 ,10335.77 ,10405.83 ,195910000.00 
2009-12-11,10403.41 ,10484.05 ,10400.08 ,10471.50 ,179970000.00 
2009-12-14,10471.28 ,10514.66 ,10471.28 ,10501.05 ,154360000.00 
2009-12-15,10499.31 ,10499.31 ,10426.69 ,10452.00 ,187560000.00 
2009-12-16,10449.81 ,10509.97 ,10427.59 ,10441.12 ,208310000.00 
2009-12-17,10439.99 ,10440.06 ,10307.96 ,10308.26 ,198860000.00 
2009-12-18,10309.39 ,10372.35 ,10263.90 ,10328.89 ,480080000.00 
2009-12-21,10330.10 ,10458.05 ,10329.80 ,10414.14 ,164470000.00 
2009-12-22,10414.67 ,10479.82 ,10414.59 ,10464.93 ,135080000.00 
2009-12-23,10464.32 ,10492.06 ,10437.80 ,10466.44 ,112460000.00 
2009-12-24,10467.12 ,10522.06 ,10461.68 ,10520.09 ,52670000.00 
2009-12-28,10517.91 ,10551.61 ,10506.34 ,10547.08 ,102010000.00 
2009-12-29,10547.83 ,10580.33 ,10544.28 ,10545.41 ,92890000.00 
2009-12-30,10544.36 ,10550.70 ,10505.66 ,10548.51 ,110160000.00 
2009-12-31,10548.51 ,10555.01 ,10423.13 ,10428.05 ,137940000.00 
2010-01-04,10430.69 ,10604.97 ,10430.69 ,10583.96 ,179780000.00 
2010-01-05,10584.56 ,10584.56 ,10522.52 ,10572.02 ,188540000.00 
2010-01-06,10564.72 ,10594.99 ,10546.55 ,10573.68 ,186040000.00 
2010-01-07,10571.11 ,10612.37 ,10505.21 ,10606.86 ,217390000.00 
2010-01-08,10606.40 ,10619.40 ,10554.33 ,10618.19 ,172710000.00 
2010-01-11,10620.31 ,10676.23 ,10591.59 ,10663.99 ,182050000.00 
2010-01-12,10662.86 ,10663.08 ,10568.84 ,10627.26 ,256050000.00 
2010-01-13,10628.09 ,10709.26 ,10614.49 ,10680.77 ,202810000.00 
2010-01-14,10680.16 ,10723.77 ,10666.86 ,10710.55 ,201320000.00 
2010-01-15,10706.99 ,10709.94 ,10561.06 ,10609.65 ,362930000.00 
2010-01-19,10608.37 ,10729.89 ,10591.97 ,10725.43 ,192150000.00 
2010-01-20,10719.69 ,10719.92 ,10517.30 ,10603.15 ,203270000.00 
2010-01-21,10603.91 ,10614.94 ,10374.69 ,10389.88 ,304290000.00 
2010-01-22,10389.58 ,10389.58 ,10157.64 ,10172.98 ,323620000.00 
2010-01-25,10175.10 ,10256.87 ,10171.77 ,10196.86 ,215330000.00 
2010-01-26,10195.35 ,10285.13 ,10155.60 ,10194.29 ,217300000.00 
2010-01-27,10194.29 ,10255.06 ,10104.36 ,10236.16 ,262170000.00 
2010-01-28,10236.92 ,10258.83 ,10055.08 ,10120.46 ,240050000.00 
2010-01-29,10122.04 ,10239.34 ,10043.75 ,10067.33 ,316900000.00 
2010-02-01,10068.99 ,10190.89 ,10068.91 ,10185.53 ,198430000.00 
2010-02-02,10186.13 ,10314.84 ,10173.59 ,10296.85 ,237140000.00 
2010-02-03,10291.73 ,10307.20 ,10231.93 ,10270.55 ,198940000.00 
2010-02-04,10273.12 ,10273.12 ,9998.03 ,10002.18 ,304240000.00 
2010-02-05,10003.69 ,10031.96 ,9835.09 ,10012.23 ,308320000.00 
2010-02-08,10005.43 ,10028.56 ,9904.09 ,9908.39 ,216270000.00 
2010-02-09,9910.28 ,10139.43 ,9910.06 ,10058.64 ,236210000.00 
2010-02-10,10055.46 ,10085.54 ,9962.96 ,10038.38 ,178600000.00 
2010-02-11,10037.85 ,10161.57 ,9976.71 ,10144.19 ,194470000.00 
2010-02-12,10137.23 ,10137.39 ,9983.82 ,10099.14 ,296510000.00 
2010-02-16,10100.81 ,10279.54 ,10100.81 ,10268.81 ,234900000.00 
2010-02-17,10261.48 ,10320.13 ,10261.48 ,10309.24 ,193270000.00 
2010-02-18,10309.39 ,10406.58 ,10294.51 ,10392.90 ,185310000.00 
2010-02-19,10387.77 ,10438.55 ,10339.17 ,10402.35 ,241750000.00 
2010-02-22,10402.43 ,10433.64 ,10368.95 ,10383.38 ,158440000.00 
2010-02-23,10383.16 ,10411.12 ,10267.83 ,10282.41 ,190740000.00 
2010-02-24,10284.00 ,10393.51 ,10283.93 ,10374.16 ,181450000.00 
2010-02-25,10366.60 ,10366.68 ,10185.83 ,10321.03 ,242550000.00 
2010-02-26,10321.41 ,10353.45 ,10272.29 ,10325.26 ,282120000.00 
2010-03-01,10326.10 ,10413.99 ,10326.10 ,10403.79 ,173750000.00 
2010-03-02,10404.16 ,10456.92 ,10389.43 ,10405.98 ,217180000.00 
2010-03-03,10406.28 ,10469.54 ,10376.58 ,10396.76 ,183290000.00 
